author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;house_number;underground
Циан х ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/294789239/;Санкт-Петербург;rent;flat;7;12;1;32.0;1087;34800;0;Приморский;Планерная ;87к1;Комендантский проспект
Циан х ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295416885/;Санкт-Петербург;rent;flat;5;9;2;50.5;1041;52600;0;Фрунзенский;Будапештская ;98К3;Дунайская
Екатерина Орлова;realtor;https://spb.cian.ru/rent/flat/291326258/;Санкт-Петербург;rent;flat;3;5;-1;18.0;1000;18000;0;Центральный; Чехова;1/12;Маяковская
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289246978/;Санкт-Петербург;rent;flat;11;18;-1;16.0;2062;33000;0;Фрунзенский; Салова;61;Бухарестская
Стандарт Девелопмент;real_estate_agent;https://spb.cian.ru/rent/flat/293135769/;Санкт-Петербург;rent;flat;11;19;2;76.0;894;68000;0;Московский;Киевская ;3;Фрунзенская
NEDmax;real_estate_agent;https://spb.cian.ru/rent/flat/295832773/;Санкт-Петербург;rent;flat;22;25;1;18.0;1222;22000;0;Приморский; Оптиков;37;Старая Деревня
Avenir;real_estate_agent;https://spb.cian.ru/rent/flat/295105029/;Санкт-Петербург;rent;flat;7;9;-1;28.0;1482;41500;0;Московский;Киевская ;5к6;Фрунзенская
NEDmax;real_estate_agent;https://spb.cian.ru/rent/flat/295684849/;Санкт-Петербург;rent;flat;22;23;2;110.0;1454;160000;0;Приморский;Лыжный переулок;8к1;Старая Деревня
Будь первым;real_estate_agent;https://spb.cian.ru/rent/flat/287953693/;Санкт-Петербург;rent;flat;6;9;1;25.0;680;17000;0;Красносельский; Генерала Кравченко;3к2;Проспект Ветеранов
Евгений Суриков;realtor;https://spb.cian.ru/rent/flat/295119047/;Санкт-Петербург;rent;flat;11;18;3;112.0;535;59990;0;Приморский; Савушкина;140;Беговая
Евгений Суриков;realtor;https://spb.cian.ru/rent/flat/295868881/;Санкт-Петербург;rent;flat;7;8;1;40.0;999;39990;0;Петроградский;Кронверкский проспект;45;Горьковская
Евгений Суриков;realtor;https://spb.cian.ru/rent/flat/295819430/;Санкт-Петербург;rent;flat;3;6;1;21.0;1094;22990;0;Центральный;Невский проспект;109;Площадь Восстания
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295677180/;Санкт-Петербург;rent;flat;22;23;2;110.0;1454;160000;0;Приморский;Лыжный переулок;8к1;Беговая
NEDmax;real_estate_agent;https://spb.cian.ru/rent/flat/294416742/;Санкт-Петербург;rent;flat;2;7;3;97.0;1907;185000;0;Центральный;Стремянная ;15/1;Площадь Восстания
Дриада;real_estate_agent;https://spb.cian.ru/rent/flat/295865996/;Санкт-Петербург;rent;flat;4;14;1;33.7;652;22000;0;Красногвардейский; Передовиков;29К1;Новочеркасская
SAMOцвет;real_estate_agent;https://spb.cian.ru/rent/flat/294881838/;Санкт-Петербург;rent;flat;3;9;1;38.0;1447;55000;0;Московский;Черниговская ;13к2;Московские ворота
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289916991/;Санкт-Петербург;rent;flat;5;18;-1;24.5;1551;38000;0;Фрунзенский; Салова;61;Бухарестская
Григорий Лебедев;realtor;https://spb.cian.ru/rent/flat/287926015/;Санкт-Петербург;rent;flat;2;2;1;45.0;577;26000;0;Кировский; Губина;5;Нарвская
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289246979/;Санкт-Петербург;rent;flat;8;18;-1;19.0;1842;35000;0;Фрунзенский; Салова;61;Бухарестская
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289912296/;Санкт-Петербург;rent;flat;10;18;-1;26.0;1692;44000;0;Фрунзенский; Салова;61;Бухарестская
Смарт Инновации;real_estate_agent;https://spb.cian.ru/rent/flat/261682571/;Санкт-Петербург;rent;flat;3;5;1;35.0;514;18000;0;Кировский; Козлова;51К2;Проспект Ветеранов
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289912289/;Санкт-Петербург;rent;flat;11;18;-1;29.0;1482;43000;0;Фрунзенский; Салова;61;Бухарестская
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/292047810/;Санкт-Петербург;rent;flat;3;5;4;232.0;1077;250000;0;Центральный; Чайковского;51;Чернышевская
АДРЕС ПЛЮС;real_estate_agent;https://spb.cian.ru/rent/flat/295721035/;Санкт-Петербург;rent;flat;18;26;1;27.0;740;20000;0;Невский;Рыбацкий проспект;18к2;Рыбацкое
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289916999/;Санкт-Петербург;rent;flat;9;18;-1;24.0;1666;40000;0;Фрунзенский; Салова;61;Бухарестская
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289246981/;Санкт-Петербург;rent;flat;7;18;-1;24.0;1666;40000;0;Фрунзенский; Салова;61;Бухарестская
Владимир Колыманов;realtor;https://spb.cian.ru/rent/flat/278720611/;Санкт-Петербург;rent;flat;1;4;1;13.0;1769;23000;0;Центральный;Коломенская ;14Ж;Лиговский проспект
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289912303/;Санкт-Петербург;rent;flat;4;18;-1;35.0;1428;50000;0;Фрунзенский; Салова;61;Бухарестская
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295712999/;Санкт-Петербург;rent;flat;22;23;2;110.0;1454;160000;0;Приморский;Лыжный переулок;8к1;Беговая
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295775280/;Санкт-Петербург;rent;flat;10;12;1;25.0;776;19400;0;Красносельский; Летчика Лихолетова;14к3;Проспект Ветеранов
Soft House Estate;real_estate_agent;https://spb.cian.ru/rent/flat/295293473/;Санкт-Петербург;rent;flat;6;16;2;72.4;994;72000;0;Василеостровский; Беринга;27к2;Приморская
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295059996/;Санкт-Петербург;rent;flat;5;10;3;101.0;1287;130000;0;Петроградский;Петровский проспект;5;Чкаловская
АТЛАНТА;real_estate_agent;https://spb.cian.ru/rent/flat/295776367/;Санкт-Петербург;rent;flat;1;5;1;33.0;636;21000;0;Московский;проспект Космонавтов;52К2;Звездная
Стандарт Девелопмент;real_estate_agent;https://spb.cian.ru/rent/flat/295519532/;Санкт-Петербург;rent;flat;3;4;3;77.4;775;60000;0;Адмиралтейский;5-я Красноармейская ;3;Технологический институт
Стандарт Девелопмент;real_estate_agent;https://spb.cian.ru/rent/flat/295325343/;Санкт-Петербург;rent;flat;4;11;1;36.2;662;24000;0;Приморский;проспект Авиаконструкторов;8К2;Комендантский проспект
ID 106282962;homeowner;https://spb.cian.ru/rent/flat/291119026/;Санкт-Петербург;rent;flat;3;5;2;46.3;539;25000;0;Калининский;проспект Науки;13К1;Политехническая
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295274592/;Санкт-Петербург;rent;flat;5;10;4;150.0;933;140000;0;Василеостровский;Уральская ;2;Василеостровская
Дмитрий Шелкович;realtor;https://spb.cian.ru/rent/flat/295066981/;Санкт-Петербург;rent;flat;1;10;2;101.7;1081;110000;0;Василеостровский;Волховский переулок;4;Спортивная
ЭВО;real_estate_agent;https://spb.cian.ru/rent/flat/295653314/;Санкт-Петербург;rent;flat;4;23;1;17.7;847;15000;0;Красногвардейский; Чарушинская;24к1;Девяткино
VALO Hotel City;real_estate_agent;https://spb.cian.ru/rent/flat/289912318/;Санкт-Петербург;rent;flat;15;18;1;33.0;1636;54000;0;Фрунзенский; Салова;61;Бухарестская
NEDmax;real_estate_agent;https://spb.cian.ru/rent/flat/295042062/;Санкт-Петербург;rent;flat;5;10;3;98.0;1326;130000;0;Петроградский;Петровский проспект;5;Спортивная
Итака;real_estate_agent;https://spb.cian.ru/rent/flat/292415720/;Санкт-Петербург;rent;flat;3;5;2;44.1;544;24000;0;Адмиралтейский; Красуцкого;2;Фрунзенская
Stanley Realty;real_estate_agent;https://spb.cian.ru/rent/flat/295621152/;Санкт-Петербург;rent;flat;4;9;4;220.0;1613;355000;0;Петроградский;Корпусная ;9;Чкаловская
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295894991/;Санкт-Петербург;rent;flat;3;5;1;44.1;394;17400;0;Калининский;Учительская ;5К2;Гражданский проспект
Инна Горлова;realtor;https://spb.cian.ru/rent/flat/295806930/;Санкт-Петербург;rent;flat;2;24;1;25.0;940;23500;0;Приморский;аллея Арцеуловская;17;Комендантский проспект
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295811679/;Санкт-Петербург;rent;flat;2;13;1;23.5;957;22500;0;Приморский;проспект Авиаконструкторов;63;Комендантский проспект
Балтийский берег;real_estate_agent;https://spb.cian.ru/rent/flat/295654232/;Санкт-Петербург;rent;flat;2;12;1;40.0;775;31000;0;Приморский; Маршала Новикова;8К1;Приморская
White Realty;real_estate_agent;https://spb.cian.ru/rent/flat/295789281/;Санкт-Петербург;rent;flat;23;27;1;38.5;597;23000;0;Выборгский;Заречная ;40к2;Парнас
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/294227869/;Санкт-Петербург;rent;flat;5;6;1;25.0;1600;40000;0;Адмиралтейский; Шкапина;22;Балтийская
ID 110567534;homeowner;https://spb.cian.ru/rent/flat/295618789/;Санкт-Петербург;rent;flat;4;6;3;163.0;3312;540000;0;Петроградский;Спортивная ;2;Крестовский остров
Просто недвижимость;real_estate_agent;https://spb.cian.ru/rent/flat/295863257/;Санкт-Петербург;rent;flat;11;25;1;43.0;465;20000;0;Пушкинский; Окуловская;8;Купчино
Вам к нам;real_estate_agent;https://spb.cian.ru/rent/flat/294421414/;Санкт-Петербург;rent;flat;1;24;1;25.8;1007;26000;0;Приморский;аллея Арцеуловская;19;Комендантский проспект
Stanley Realty;real_estate_agent;https://spb.cian.ru/rent/flat/294867424/;Санкт-Петербург;rent;flat;6;6;5;202.0;792;160000;0;Центральный;Малая Конюшенная ;14;Гостиный двор
Адвекс;real_estate_agent;https://spb.cian.ru/rent/flat/295880587/;Санкт-Петербург;rent;flat;5;11;1;25.0;600;15000;0;Красносельский;проспект Ветеранов;175к4;Проспект Ветеранов
ID 49840167;homeowner;https://spb.cian.ru/rent/flat/295696105/;Санкт-Петербург;rent;flat;5;9;1;24.4;1516;37000;0;Выборгский;Манчестерская ;3к2;Удельная
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/293760153/;Санкт-Петербург;rent;flat;4;9;4;200.0;1000;200000;0;Петроградский;Мичуринская ;4;Горьковская
Алексей Софронов;realtor;https://spb.cian.ru/rent/flat/241986846/;Санкт-Петербург;rent;flat;6;25;1;30.0;633;19000;0;Выборгский;Выборгское шоссе;27к3;Проспект Просвещения
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295522288/;Санкт-Петербург;rent;flat;2;10;1;43.5;728;31700;0;Невский; Коллонтай;28К1;Проспект Большевиков
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294926934/;Санкт-Петербург;rent;flat;5;10;1;28.0;2142;60000;0;Центральный;Социалистическая ;21;Лиговский проспект
Сергей Балдов;realtor;https://spb.cian.ru/rent/flat/295830617/;Санкт-Петербург;rent;flat;19;23;1;36.0;694;25000;0;Красногвардейский;Индустриальный проспект;12;Улица Дыбенко
Константин Громов;realtor;https://spb.cian.ru/rent/flat/295585577/;Санкт-Петербург;rent;flat;4;5;2;55.0;1090;60000;0;Центральный;Гончарная ;21;Площадь Восстания
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295174400/;Санкт-Петербург;rent;flat;3;10;2;103.0;762;78500;0;Василеостровский;26-я Васильевского острова линия;7;Василеостровская
ИТЕРА;real_estate_agent;https://spb.cian.ru/rent/flat/295779851/;Санкт-Петербург;rent;flat;4;24;1;25.0;840;21000;0;Приморский;аллея Арцеуловская;17;Комендантский проспект
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/293543277/;Санкт-Петербург;rent;flat;3;5;1;42.3;1418;60000;0;Адмиралтейский;набережная Канала Грибоедова;119-121;Спасская
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295034105/;Санкт-Петербург;rent;flat;23;24;2;59.1;673;39800;0;Приморский;Парашютная ;36к1;Комендантский проспект
Василиса Адвахова;realtor;https://spb.cian.ru/rent/flat/295777323/;Санкт-Петербург;rent;flat;10;10;1;40.0;637;25500;0;Фрунзенский;Купчинская ;30К5;Купчино
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/291921336/;Санкт-Петербург;rent;flat;5;14;4;155.0;1032;160000;0;Элитный ЖК в Московском е4-комн. квартира;155 м²;;
ПИК-Аренда СПб;real_estate_agent;https://spb.cian.ru/rent/flat/295759911/;Санкт-Петербург;rent;flat;5;14;2;56.0;750;42000;0;Невский;Искровский проспект;3К2;Проспект Большевиков
ID 110880846;realtor;https://spb.cian.ru/rent/flat/295796878/;Санкт-Петербург;rent;flat;2;4;1;25.0;1200;30000;0;Василеостровский;проспект Средний Васильевского острова;70;Василеостровская
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295367522/;Санкт-Петербург;rent;flat;4;9;4;220.0;1613;355000;0;Петроградский;Корпусная ;9;Чкаловская
ID 106417362;homeowner;https://spb.cian.ru/rent/flat/291274259/;Санкт-Петербург;rent;flat;11;13;1;24.0;958;23000;0;Красносельский;проспект Ветеранов;175;Ленинский проспект
Невский простор;real_estate_agent;https://spb.cian.ru/rent/flat/294020462/;Санкт-Петербург;rent;flat;2;5;1;32.0;593;19000;0;Василеостровский; Беринга;24К3;Приморская
Денис Тарануха;realtor;https://spb.cian.ru/rent/flat/295800914/;Санкт-Петербург;rent;flat;3;4;1;53.0;1037;55000;0;Василеостровский;2-я Васильевского острова линия;3;Василеостровская
